player_id,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,turnovers_per_game,fg_pct,three_pt_pct
Player A,21.5,9.3,2.0,0.5,1.1,0.407,0.353
Player B,28.8,6.2,2.2,4.1,1.8,0.403,0.321
Player C,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Player D,12.4,5.1,1.1,0.5,0.8,0.331,0.302
Player E,24.7,9.4,4.9,1.4,1.3,0.528,0.432
Player F,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Player G,25.4,13.4,7.9,1.4,1.8,0.504,0.333
Player H,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Player I,29.9,11.5,9.6,2.1,2.2,0.596,0.4
Player J,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Player K,13.4,2.6,3.2,0.7,0.8,0.484,0.417
Player L,6.7,2.4,1.8,0.2,0.3,0.826,0.0
Player M,15.6,5.2,1.5,1.0,0.8,0.391,0.315
Player N,34.6,17.8,3.8,2.8,2.3,0.407,0.268
Player O,21.4,6.0,2.4,0.7,0.8,0.449,0.368
Player P,3.3,0.0,0.0,0.3,0.3,0.0,0.0
